Quantity,Description,Comment,Footprint,Designator

"1","BeagleBone Black","","BBB-CNCT-O","BBB"
"1","Buck Converter","TPS5432","SO-PPAD-DDA-8","U5"
"1","Buck Converter","TPS54531","SO-PPAD-DDA-8","U4"
"1","Capacitor","15pF","0603","C2"
"1","Capacitor","2.2nF","0603","C27"
"1","Capacitor","22pF","0603","C30"
"1","Capacitor","6.8nF","0603","C37"
"1","Capacitor","68pF","0603","C38"
"17","Capacitor","100nF","0603","C9, C11, C12, C14, C15, C16, C17, C18, C19, C21_H01, C21_H23, C22_H01, C22_H23, C23, C32, C34, C47"
"2","Capacitor","22uF","1206","C35, C36"
"2","Capacitor","4.7uF","1206","C24, C25"
"2","Capacitor","47uF","1206","C28, C29"
"4","Capacitor","100uF","1206","C45_H01, C45_H23, C46_H01, C46_H23"
"4","Capacitor","10uF","1206","C10, C33, C40, C42"
"7","Capacitor","330nF","0603","C1, C5, C7, C13, C41, C43, C44"
"9","Capacitor","10nF","0603","C3, C4, C6, C8, C20_H01, C20_H23, C26, C31, C39"
"1","DC Input Plug","","DCJACK","P3"
"2","DUAL H-BRIDGE DRIVER IC","DRV8841PWPR","TI_HTSSOP(PWP)-(R-PDSO-G28)_R","U3_H01, U3_H23"
"1","Dual N-Channel MOSFET","FDC6561AN","SuperSOT-6","Q1"
"1","Header 2x2","","H100P2X2-F","POUT"
"1","Header 9X2","","H100P2x9","P1"
"4","HEM3","","Molex-51021-8","MOT0, MOT1, MOT2, MOT3"
"4","IE2","","IE2","MOTOR0, MOTOR1, MOTOR2, MOTOR3"
"1","Inductor - Power","3.3uH","XAL4020","L2"
"1","Inductor - Power","4.7uH","XAL4020","L1"
"1","JTAG Connector","JTAG","JTAG","JTAG"
"2","Jumper","","H100P2x2","J1, J2"
"1","LDO Linear Regulator","LP38852","DDPAK-7","U6"
"1","MOSFET Driver","FAN3227","SOIC127P600X175-8M","U1"
"1","Oszillator","48MHz","KC5032A","X1"
"1","ProASIC3 Flash Family FPGA, 71 User IOs, 125K System Gates, 36 Kbits RAM, 1 Kbit Flash ROM, 1 PLL, 100-Pin VQFP, Commercial Grade","A3P125-1VQ100","VQ100_N","U2"
"1","Resistor","10K","0603","R44"
"1","Resistor","13K","0603","R49"
"1","Resistor","15K","0603","R51"
"1","Resistor","180K","0603","R43"
"1","Resistor","200K","0603","R50"
"1","Resistor","270","0603","R30"
"1","Resistor","2K","0603","R46"
"1","Resistor","36k","0603","R47"
"1","Resistor","4.3k","0603","R52"
"1","Resistor","620K","0603","R48"
"1","Resistor","68K","0603","R45"
"12","Resistor","1.8K","0603","R7, R8, R9, R10, R11, R12, R19, R20, R21, R22, R23, R24"
"19","Resistor","1K","0603","R1, R2, R3, R4, R5, R6, R13, R14, R15, R16, R17, R18, R25, R31, R32, R34_H01, R34_H23, R53, R54"
"2","Resistor","1M","0603","R33_H01, R33_H23"
"4","Resistor","1.5K","0603","R36_H01, R36_H23, R40_H01, R40_H23"
"4","Resistor","100","0603","R26, R27, R28, R29"
"4","Resistor","8.2K","0603","R35_H01, R35_H23, R39_H01, R39_H23"
"8","Resistor","0.12","1206","R37_H01, R37_H23, R38_H01, R38_H23, R41_H01, R41_H23, R42_H01, R42_H23"
"1","Schottky Rectifier","PMEG3050EP","SOD128","D1"
"2","Switch","SW-PB","BTN","S0, S1"
"1","Terminal1x2","","T200P1X2","P2"
"5","Typical RED, GREEN, YELLOW, AMBER GaAs LED","LED","0603","LED0, LED1, LED2, LED3, PWR"
